Imagem,Nome,Numero,Colecao
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0001_card_06_0-96_bw_jpg.rf.ea46ac9b64f26e6eb3f529918dc52f36.jpg,Machamp,8/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0002_card_03_0-97_bw_jpg.rf.181a31979ab31918d7baeb7fb42624e0.jpg,Dragonair,18/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0003_card_05_0-97_bw_jpg.rf.0a8acfc8fdb80aeeceda24e0e806234f.jpg,Arcanine,23/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0003_card_07_0-96_bw_jpg.rf.48f73afc2786854cf5691c8e35e23436.jpg,Dratini,26/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0005_card_04_0-97_bw_jpg.rf.c20156f2da6b0d0212dfb7b0628158f8.jpg,Seel,41/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0005_card_05_0-97_bw_jpg.rf.37b495e186e229dde183483cc59223a8.jpg,Nidorino,37/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool_page-0010_card_01_0-97_bw_jpg.rf.4a4f59dd970cf44bcdeb1c3c8128de41.jpg,Pokémon Center,85/102,
Free-Pokemon-Placeholder-Card-Generator-_-TCG-Binder-Tool5_page-0020_card_05_0-97_bw_jpg.rf.57043bc32b6e33760e37860f2dc2145b.jpg,Reshiram V,172/195,
IMG_6677_card_04_0-96_bw_jpg.rf.f6887d09a338002f177844b4f5a6f807.jpg,Taillow,156/182,DRIen
IMG_6677_card_05_0-96_bw_jpg.rf.8b0fae4ec702c160f985ec5a7772dd00.jpg,Stufful,052/064,SFApt
IMG_6679_card_03_0-97_bw_jpg.rf.68fbca978a86b9c38bd8940fd418e8ad.jpg,Herdier,075/086,WHTpt
IMG_6681_card_01_0-97_bw_jpg.rf.7c207c9af1e51b07d62e94810dae2bc7.jpg,Parasect,005/159,JTGpt
IMG_6681_card_07_0-96_bw_jpg.rf.13a7bc7e0738c1d55a16349c2cac9e88.jpg,Maractus,008/159,JTGpt
IMG_6682_card_00_0-97_bw_jpg.rf.1d0dc0cb1b7ba0974990a1721734663f.jpg,Accelgor,013/159,JTGpt
IMG_6682_card_06_0-97_bw_jpg.rf.5a8ef687ad9a851af5a60ff8209e7c43.jpg,Amoonguss ex,011/159,JTGpt
IMG_6683_card_04_0-97_bw_jpg.rf.b3a53cd905739feafc1943a3c0f18d2b.jpg,Torchic,022/159,JTGpt
IMG_6686_card_08_0-96_bw_jpg.rf.12c4e391174e0b5e5fad686d465bf5dc.jpg,Voltorb da Kissera,047/159,JTGpt
IMG_6687_card_05_0-97_bw_jpg.rf.46926f053f08b12183b68005d3c9bb33.jpg,Marowak de Alola,057/159,JTGpt
IMG_6688_card_04_0-97_bw_jpg.rf.ab289ecfc6e16afc0f7d1ab2fbcd7f8f.jpg,Sigilyph do N,064/159,JTGpt
IMG_6689_card_07_0-96_bw_jpg.rf.b98d3af4965c1cb47542d45485e1ef4a.jpg,Larvitar,080/159,JTGpt
IMG_6692_card_05_0-97_bw_jpg.rf.7c5c6bd2e24bffbd4212fc28366c23fd.jpg,Klang do N,104/159,JTGpt
IMG_6697_card_02_0-97_bw_jpg.rf.71d382371c458d8126a72d394c1a3e95.jpg,Espírito de Luta da Iris,149/159,JTGpt
IMG_6702_card_02_0-96_bw_jpg.rf.658be68481b0ed2a620bd028fd7c2b00.jpg,Cinccino,183/162,TEFpt
IMG_6702_card_03_0-96_bw_jpg.rf.4e4fc22e9e7137eaf2e249071e4bf517.jpg,Fezandipiti,073/064,SFApt
IMG_6707_card_02_0-97_bw_jpg.rf.12518469f4f117ed8c73b3279f81314d.jpg,Ralts,021/091,PAFpt
IMG_6730_card_00_0-96_bw_jpg.rf.f37d6cc6f0e5a2ae00f5d24dcf0d2442.jpg,Mimikyu ex,069/159,JTGpt
WhatsApp-Image-2026-08-18-at-23-47-23_card_00_0-94_bw_jpg.rf.0a4c482bb096a796539b1b92b0bac7af.jpg,Mew ex,232/091,PAFpt
WhatsApp-Image-2026-08-26-at-11-26-49-1-_card_03_0-97_bw_jpg.rf.df99718f8077b69b59581585c2bac254.jpg,Mareep,GG34/GG70,
WhatsApp-Image-2026-09-01-at-18-12-49_card_03_0-95_bw_jpg.rf.d1ddb2a5177c4f165a25058ca45e9012.jpg,Mega Venusaur ex,013,MEPpt
